,Time,1m,1m_intensity,1m_return,10cm,10cm_intensity,10cm_return,1cm,1cm_intensity,1cm_return,1mm,1mm_intensity,1mm_return,100um,100um_intensity,100um_return
0,2025-02-05 08:41:49.407234,1159,6.517874046014571e+34,80.5918895599655,1116,6.754579294774988e+34,80.70519713261649,1102,6.830660860763183e+34,80.63067150635209,1089,6.90399553452842e+34,80.83287419651056,879,8.455300738099873e+34,82.07053469852104
1,2025-02-05 08:41:49.460454,1134,4.937799818434946e+33,82.7363315696649,1105,4.953942951170871e+33,82.61990950226244,1100,4.9277322022886156e+33,82.67181818181818,1096,4.945716626384559e+33,82.67700729927007,847,5.703369616530014e+33,84.20425029515938
2,2025-02-05 08:41:49.504635,1257,2.246996067529107e+34,82.94192521877486,1223,2.2992334526424505e+34,82.61896974652494,1216,2.3095304685313517e+34,82.61430921052632,1212,2.3171526812987763e+34,82.60396039603961,984,2.795946227334077e+34,84.39126016260163
3,2025-02-05 08:41:49.555147,975,3.1750788619192437e+34,82.84615384615384,940,3.279992037301705e+34,82.79361702127659,931,3.3059412865799556e+34,82.85606874328678,930,3.3094960621569226e+34,82.84623655913978,764,3.9121083132827745e+34,84.10732984293193
4,2025-02-05 08:41:49.605563,1331,1.3925719386289736e+34,83.50187828700226,1295,1.4271456357709358e+34,83.2,1282,1.440223296849055e+34,83.18174726989079,1281,1.4413475929433947e+34,83.15300546448087,1025,1.299058409260477e+34,84.72487804878048
5,2025-02-05 08:41:49.660015,1438,1.3119102258242982e+35,80.81710709318497,1385,1.3606940868133553e+35,80.62888086642599,1362,1.382097683318303e+35,80.83259911894272,1355,1.3892376713502053e+35,80.80664206642066,969,1.9227208415416328e+35,84.24355005159958
6,2025-02-05 08:41:49.712528,1382,1.926893251266444e+35,82.96454413892909,1345,1.9784386617535476e+35,82.88401486988847,1337,1.9898757327428377e+35,82.91922213911742,1330,2.0002144482173148e+35,82.86240601503759,923,2.2291012059191074e+35,85.81040086673889
7,2025-02-05 08:41:49.763272,1407,5.892551753889513e+34,83.05117270788912,1349,6.130005586757428e+34,82.93550778354337,1341,6.166575344172833e+34,82.93661446681581,1339,6.175786061639858e+34,82.90216579536968,949,8.560393558548135e+34,86.54267650158062
8,2025-02-05 08:41:49.808910,1202,7.331270449361247e+34,84.94758735440932,1147,7.657883951420077e+34,84.80122057541412,1139,7.708194800882665e+34,84.77963125548727,1137,7.72175363078747e+34,84.80562884784521,988,8.815720313001002e+34,85.26214574898785
9,2025-02-05 08:41:49.858408,1410,7.758268979328143e+34,85.44964539007093,1351,8.078571239492667e+34,85.41672834937084,1333,8.187659223221726e+34,85.40585146286571,1328,8.2171407057320955e+34,85.37198795180723,1011,1.0730359913853175e+35,88.2591493570722
10,2025-02-05 08:41:49.908834,1297,1.8149382667770925e+34,85.47031611410948,1238,1.8667944902973804e+34,85.70193861066235,1230,1.8774834890716283e+34,85.64715447154471,1225,1.8836884173681656e+34,85.70285714285714,992,8.383448384698165e+33,87.43145161290323
11,2025-02-05 08:41:49.958798,1330,3.925391437279078e+33,85.74661654135339,1266,3.9847934115266553e+33,85.37045813586099,1255,4.005485790687814e+33,85.40398406374501,1250,4.007214369218252e+33,85.4616,1004,4.348246049103981e+33,87.02091633466135
12,2025-02-05 08:41:50.009550,1305,1.7890919324362981e+34,86.32413793103449,1234,1.8732070204684622e+34,86.14343598055105,1219,1.8918583474257967e+34,86.15340442986054,1213,1.9012162617576635e+34,86.20774938169826,971,2.3268285737261486e+34,88.38619979402678
13,2025-02-05 08:41:50.060276,1218,3.0297758414746543e+34,85.28817733990148,1156,3.1690871961367184e+34,85.35034602076125,1146,3.1936221850343284e+34,85.39703315881326,1139,3.210112612566647e+34,85.36084284460053,974,3.2871275910956693e+34,86.40862422997947
14,2025-02-05 08:41:50.110472,1296,6.024702465095774e+34,84.90895061728395,1254,6.219360116356937e+34,84.51674641148325,1240,6.286694417525419e+34,84.54193548387097,1235,6.3121466216449535e+34,84.48582995951416,968,8.019967885208596e+34,86.01859504132231
15,2025-02-05 08:41:50.161592,1222,6.646801838125429e+34,84.25531914893617,1174,6.901818883644775e+34,83.78790459965929,1167,6.940156533372398e+34,83.78320479862896,1162,6.96848218182238e+34,83.76764199655766,941,8.523405828027661e+34,85.97343251859724
16,2025-02-05 08:41:50.210972,1206,7.017068623320785e+33,83.90215588723052,1157,7.159761134100585e+33,83.66378565254969,1141,7.22884399474122e+33,83.6888694127958,1133,7.279886141217764e+33,83.64783759929391,906,8.472663318825282e+33,85.78587196467991
17,2025-02-05 08:41:50.260979,1099,1.10474749676026e+34,85.28298453139217,1050,1.1460890159692815e+34,84.96571428571428,1043,1.1503546046441883e+34,84.99328859060402,1038,1.1541743403675807e+34,85.04431599229287,813,1.4186382853911261e+34,86.87084870848709
18,2025-02-05 08:41:50.311429,901,9.335993823346489e+34,83.7180910099889,854,9.822597267834147e+34,83.45901639344262,843,9.94440980425981e+34,83.52313167259787,841,9.968058816873984e+34,83.46254458977408,713,1.1674846447435376e+35,84.1234221598878
19,2025-02-05 08:41:50.361908,995,1.4903091502144269e+35,83.55175879396985,973,1.5232711741372841e+35,83.31243576567317,965,1.535343968511815e+35,83.33886010362694,956,1.5496111837835751e+35,83.44037656903765,703,2.0991588012437403e+35,86.06827880512091
20,2025-02-05 08:41:50.412598,901,2.863092048976751e+34,83.65260821309656,866,2.9602356546603233e+34,83.52540415704388,860,2.9767311341580414e+34,83.57558139534883,856,2.9885542011775256e+34,83.59579439252336,686,3.475896783454005e+34,85.24927113702624
21,2025-02-05 08:41:50.463152,956,9.874390844747604e+34,84.02196652719665,925,1.0184063462653995e+35,84.15351351351352,914,1.0304674308228732e+35,84.03610503282276,911,1.0336645693038684e+35,84.13611416026345,732,1.2798397268088156e+35,86.13524590163935
22,2025-02-05 08:41:50.513222,999,1.3484302588937532e+35,84.82982982982983,961,1.3998906437029374e+35,84.78459937565036,955,1.4081245480621449e+35,84.98324607329843,952,1.4123741704023809e+35,84.99579831932773,756,1.7726351332401856e+35,86.41137566137566
23,2025-02-05 08:41:50.563678,1117,5.777593892906431e+34,83.60519247985675,1081,5.950167102641051e+34,83.45790934320074,1069,6.008602411523734e+34,83.52946679139383,1065,6.0294920751168195e+34,83.51267605633802,936,6.787942646677702e+34,84.28205128205128
24,2025-02-05 08:41:50.614214,1249,5.22208931375699e+34,83.86068855084068,1212,5.371191154748435e+34,83.60478547854785,1201,5.417409849357998e+34,83.54454621149043,1197,5.43551314041682e+34,83.46950710108605,1032,6.245689315782344e+34,83.51937984496124
25,2025-02-05 08:41:50.664664,1329,1.3095731864742592e+35,82.70729872084274,1285,1.3530239205426595e+35,82.43268482490272,1264,1.3752196597099777e+35,82.54193037974683,1254,1.3856162021551278e+35,82.57974481658692,1068,1.6204039374419812e+35,82.03651685393258
26,2025-02-05 08:41:50.715484,1227,2.306615261763422e+34,82.32599837000815,1182,8.971697504904871e+33,82.32571912013536,1174,9.032633243641886e+33,82.2359454855196,1169,9.071267260937188e+33,82.24379811804961,989,9.85494779828756e+33,82.25176946410515
27,2025-02-05 08:41:50.765358,1376,1.5091937205075254e+35,84.32703488372093,1330,1.5596444561492984e+35,84.4954887218045,1318,1.5735733723581573e+35,84.41502276176024,1315,1.5771632735878718e+35,84.3703422053232,1143,1.8109004091107755e+35,83.77252843394575
